,datetime,r_f,near_maturity_time,days_in_year,T1_min,next_maturity_time,T2_min,close
169,2024-05-10 13:50:00,0.017044,2024-05-17 09:30:00,242,6940.0,2024-06-21 09:30:00,41500.0,5580.341
170,2024-05-10 13:51:00,0.017044,2024-05-17 09:30:00,242,6939.0,2024-06-21 09:30:00,41499.0,5584.3343
171,2024-05-10 13:52:00,0.017044,2024-05-17 09:30:00,242,6938.0,2024-06-21 09:30:00,41498.0,5584.9951
172,2024-05-10 13:53:00,0.017044,2024-05-17 09:30:00,242,6937.0,2024-06-21 09:30:00,41497.0,5585.4267
173,2024-05-10 13:54:00,0.017044,2024-05-17 09:30:00,242,6936.0,2024-06-21 09:30:00,41496.0,5585.2939
174,2024-05-10 13:55:00,0.017044,2024-05-17 09:30:00,242,6935.0,2024-06-21 09:30:00,41495.0,5585.4379
175,2024-05-10 13:56:00,0.017044,2024-05-17 09:30:00,242,6934.0,2024-06-21 09:30:00,41494.0,5585.8633
176,2024-05-10 13:57:00,0.017044,2024-05-17 09:30:00,242,6933.0,2024-06-21 09:30:00,41493.0,5584.2495
177,2024-05-10 13:58:00,0.017044,2024-05-17 09:30:00,242,6932.0,2024-06-21 09:30:00,41492.0,5582.3303
178,2024-05-10 13:59:00,0.017044,2024-05-17 09:30:00,242,6931.0,2024-06-21 09:30:00,41491.0,5583.4004
179,2024-05-10 14:00:00,0.017044,2024-05-17 09:30:00,242,6930.0,2024-06-21 09:30:00,41490.0,5583.2354
180,2024-05-10 14:01:00,0.017044,2024-05-17 09:30:00,242,6929.0,2024-06-21 09:30:00,41489.0,5581.6264
181,2024-05-10 14:02:00,0.017044,2024-05-17 09:30:00,242,6928.0,2024-06-21 09:30:00,41488.0,5583.4888
182,2024-05-10 14:03:00,0.017044,2024-05-17 09:30:00,242,6927.0,2024-06-21 09:30:00,41487.0,5583.3193
183,2024-05-10 14:04:00,0.017044,2024-05-17 09:30:00,242,6926.0,2024-06-21 09:30:00,41486.0,5580.2362
